kecamatan,Tanaman,luas_panen_ha,total_produksi_ton,produktivitas_kuintal_ha
Pagu,Ketela Pohon,20.873126673625922,594.6354914779239,284.88089052287074
Kayenkidul,Padi,1488.4991862206691,8632.189119956429,57.9925686212415
Kayenkidul,Kedelai,0.0826986792538465,0.10894614588187816,13.173867692307898
Kayenkidul,Kacang Tanah,20.739958244451504,36.72241199395388,17.706116647451836
Kayenkidul,Ubi Jalar,23.438546725366496,688.8291472019243,293.8873110492107
Kayenkidul,Ketela Pohon,28.41352516679526,809.4470352410632,284.8808905228707
Gampengrejo,Padi,422.9572765851224,2452.8378886216133,57.9925686212415
Gampengrejo,Kedelai,0.023498842645123225,0.030957064392921587,13.173867692307898
Gampengrejo,Kacang Tanah,5.893262379158536,10.434679111942057,17.706116647451836
Gampengrejo,Ubi Jalar,6.6600667181046616,195.7309099192121,293.8873110492108
Gampengrejo,Ketela Pohon,8.0737076203876,230.0045016717307,284.88089052287074
Ngasem,Padi,385.70599350973544,2236.8081296237465,57.99256862124152
Ngasem,Kedelai,0.021429219806653656,0.028230570648223905,13.173867692307894
Ngasem,Kacang Tanah,5.37422275677393,9.515661502082938,17.706116647451836
Ngasem,Ubi Jalar,6.07349203467526,178.4922242749512,293.8873110492108
Ngasem,Ketela Pohon,7.362628784096582,209.7472244602755,284.8808905228707
Banyakan,Padi,782.2769445831253,4536.624938955204,57.99256862124152
Banyakan,Kedelai,0.043462079607860936,0.057256368638651294,13.173867692307894
Banyakan,Kacang Tanah,10.899832070076704,19.29936980704145,17.706116647451836
Banyakan,Ubi Jalar,12.318068352017429,362.0123985294785,293.8873110492107
Banyakan,Ketela Pohon,14.932655562111377,425.40282144055874,284.8808905228707
Grogol,Padi,848.2427583624564,4919.177637180593,57.9925686212415
Grogol,Kedelai,0.04712703671765079,0.06208453464488677,13.173867692307898
Grogol,Kacang Tanah,11.818964734716108,20.926796824500304,17.706116647451836
Grogol,Ubi Jalar,13.356794353923659,392.53923769119046,293.8873110492108
Grogol,Ketela Pohon,16.191857668043387,461.27508316917726,284.8808905228707
Tarokan,Padi,685.2683949076386,3974.047441564925,57.992568621241496
Tarokan,Kedelai,0.03807243679934643,0.05015612451183442,13.173867692307898
Tarokan,Kacang Tanah,9.54816638678346,16.90609478136667,17.706116647451836
Tarokan,Ubi Jalar,10.790530113920028,317.1199879975491,293.88731104921084
Tarokan,Ketela Pohon,13.080887759270183,372.6494953690609,284.88089052287074
